title,author,language,genre,archive_link,identifier,cover_url,download_url
"The Pity of Partition: Manto's Life, Times, and Work Across the India-Pakistan Divide",Ayesha Jalal,English,Biography/Memoir,https://archive.org/details/burzahom-end-of-india,burzahom-end-of-india,https://archive.org/services/img/burzahom-end-of-india,https://archive.org/download/burzahom-end-of-india/burzahom-end-of-india.pdf
Kashmir Insurgency and After,Balraj Puri,English,Politics & Law,https://archive.org/details/burzahom-historical-destiny-of-kashmir-insurgency,burzahom-historical-destiny-of-kashmir-insurgency,https://archive.org/services/img/burzahom-historical-destiny-of-kashmir-insurgency,https://archive.org/download/burzahom-historical-destiny-of-kashmir-insurgency/burzahom-historical-destiny-of-kashmir-insurgency.pdf
The Kashmiri Pandits: A Study of Cultural Choice in North India,Henny Sender,English,Academic & Research,https://archive.org/details/burzahom-the-kashmir-question,burzahom-the-kashmir-question,https://archive.org/services/img/burzahom-the-kashmir-question,https://archive.org/download/burzahom-the-kashmir-question/burzahom-the-kashmir-question.pdf
The Literary Heritage of Kashmir,K.L. Kalla,English,Language & Linguistics,,,,
The Jammu and Kashmir Territories,Frederic Drew,English,History,https://archive.org/details/burzahom-geography-of-the-jammu-and-kashmir-state,burzahom-geography-of-the-jammu-and-kashmir-state,https://archive.org/services/img/burzahom-geography-of-the-jammu-and-kashmir-state,https://archive.org/download/burzahom-geography-of-the-jammu-and-kashmir-state/burzahom-geography-of-the-jammu-and-kashmir-state.pdf
"Kashmir: Roots of Conflict, Paths to Peace",Sumantra Bose,English,Politics & Law,https://archive.org/details/burzahom-kashmir-archaeology,burzahom-kashmir-archaeology,https://archive.org/services/img/burzahom-kashmir-archaeology,https://archive.org/download/burzahom-kashmir-archaeology/burzahom-kashmir-archaeology.pdf
Kashmir Historiographer,Fazili,English,History,https://archive.org/details/burzahom-kashmir-bibliography,burzahom-kashmir-bibliography,https://archive.org/services/img/burzahom-kashmir-bibliography,https://archive.org/download/burzahom-kashmir-bibliography/burzahom-kashmir-bibliography.pdf
The Untold Story of the People of Azad Kashmir,Christopher Snedden,English,History,https://archive.org/details/burzahom-kashmir-historiographer,burzahom-kashmir-historiographer,https://archive.org/services/img/burzahom-kashmir-historiographer,https://archive.org/download/burzahom-kashmir-historiographer/burzahom-kashmir-historiographer.pdf
Kashmir Women Empowerment and National Conference,Shahzada Akhter,English,Politics & Law,https://archive.org/details/burzahom-kashmir-me-amn,burzahom-kashmir-me-amn,https://archive.org/services/img/burzahom-kashmir-me-amn,https://archive.org/download/burzahom-kashmir-me-amn/burzahom-kashmir-me-amn.pdf
The Secrets of Ishbar: Poems on Kashmir,Subhash Kak,English,Poetry & Literature,https://archive.org/details/burzahom-kashmir-shaivism,burzahom-kashmir-shaivism,https://archive.org/services/img/burzahom-kashmir-shaivism,https://archive.org/download/burzahom-kashmir-shaivism/burzahom-kashmir-shaivism.pdf
"Travels in Kashmir, Ladak, Iskardo",Godfrey Thomas Vigne,English,Travelogue,https://archive.org/details/burzahom-red-menace-in-kashmir,burzahom-red-menace-in-kashmir,https://archive.org/services/img/burzahom-red-menace-in-kashmir,https://archive.org/download/burzahom-red-menace-in-kashmir/burzahom-red-menace-in-kashmir.pdf
Structures of Violence (Main Report),IPTK & APDP,English,Human Rights & Conflict,https://archive.org/details/burzahom-report,burzahom-report,https://archive.org/services/img/burzahom-report,https://archive.org/download/burzahom-report/burzahom-report.pdf
The Half-Inch Himalayas,Agha Shahid Ali,English,Poetry & Literature,https://archive.org/details/burzahom-1948-alexander-the-great-vol-2--sources-and-studies,burzahom-1948-alexander-the-great-vol-2--sources-and-studies,https://archive.org/services/img/burzahom-1948-alexander-the-great-vol-2--sources-and-studies,https://archive.org/download/burzahom-1948-alexander-the-great-vol-2--sources-and-studies/burzahom-1948-alexander-the-great-vol-2--sources-and-studies.pdf
The Collaborator,Mirza Waheed,English,Fiction,https://archive.org/details/burzahom-1969-slender-was-the-thread-kashmir-confrontation-194748,burzahom-1969-slender-was-the-thread-kashmir-confrontation-194748,https://archive.org/services/img/burzahom-1969-slender-was-the-thread-kashmir-confrontation-194748,https://archive.org/download/burzahom-1969-slender-was-the-thread-kashmir-confrontation-194748/burzahom-1969-slender-was-the-thread-kashmir-confrontation-194748.pdf
Human Rights Violations in Kashmir,Piotr Balcerowicz & Agnieszka Kuszewska,English,Human Rights & Conflict,https://archive.org/details/burzahom-a-mission-in-kashmir,burzahom-a-mission-in-kashmir,https://archive.org/services/img/burzahom-a-mission-in-kashmir,https://archive.org/download/burzahom-a-mission-in-kashmir/burzahom-a-mission-in-kashmir.pdf
Kashmir and the Future of South Asia,Sugata Bose & Ayesha Jalal,English,Politics & Law,https://archive.org/details/burzahom-kashmir-legacy,burzahom-kashmir-legacy,https://archive.org/services/img/burzahom-kashmir-legacy,https://archive.org/download/burzahom-kashmir-legacy/burzahom-kashmir-legacy.pdf
Kashmir in Conflict,Victoria Schofield,English,History,https://archive.org/details/burzahom-kashmir-prediliction,burzahom-kashmir-prediliction,https://archive.org/services/img/burzahom-kashmir-prediliction,https://archive.org/download/burzahom-kashmir-prediliction/burzahom-kashmir-prediliction.pdf
Telephone Number 71797,Amin Kamil,Kashmiri,Fiction,https://archive.org/details/burzahom-faani-kashmiri,burzahom-faani-kashmiri,https://archive.org/services/img/burzahom-faani-kashmiri,https://archive.org/download/burzahom-faani-kashmiri/burzahom-faani-kashmiri.pdf
Kashmir: A Disputed Legacy 1846-1990,Alastair Lamb,English,History,https://archive.org/details/burzahom-kashir-vol-1,burzahom-kashir-vol-1,https://archive.org/services/img/burzahom-kashir-vol-1,https://archive.org/download/burzahom-kashir-vol-1/burzahom-kashir-vol-1.pdf
Kashmir in the Crossfire,Victoria Schofield,English,History,https://archive.org/details/burzahom-1967-kashmir-in-crucible,burzahom-1967-kashmir-in-crucible,https://archive.org/services/img/burzahom-1967-kashmir-in-crucible,https://archive.org/download/burzahom-1967-kashmir-in-crucible/burzahom-1967-kashmir-in-crucible.pdf
The Kashmir Saga,Sardar M. Ibrahim Khan,English,Biography/Memoir,https://archive.org/details/burzahom-1973-the-kashmir-shawl,burzahom-1973-the-kashmir-shawl,https://archive.org/services/img/burzahom-1973-the-kashmir-shawl,https://archive.org/download/burzahom-1973-the-kashmir-shawl/burzahom-1973-the-kashmir-shawl.pdf
Naya Kashmir,National Conference,Urdu,Politics & Law,https://archive.org/details/burzahom-naya-kashmir-new-kashmir-manifesto,burzahom-naya-kashmir-new-kashmir-manifesto,https://archive.org/services/img/burzahom-naya-kashmir-new-kashmir-manifesto,https://archive.org/download/burzahom-naya-kashmir-new-kashmir-manifesto/burzahom-naya-kashmir-new-kashmir-manifesto.pdf
Inside Azad Kashmir,Luv Puri,English,Politics & Law,https://archive.org/details/burzahom-across-the-line-of-control-inside-azad-kashmir,burzahom-across-the-line-of-control-inside-azad-kashmir,https://archive.org/services/img/burzahom-across-the-line-of-control-inside-azad-kashmir,https://archive.org/download/burzahom-across-the-line-of-control-inside-azad-kashmir/burzahom-across-the-line-of-control-inside-azad-kashmir.pdf
The Parchment of Kashmir,Nyla Ali Khan,English,Politics & Law,https://archive.org/details/burzahom-free-kashmir,burzahom-free-kashmir,https://archive.org/services/img/burzahom-free-kashmir,https://archive.org/download/burzahom-free-kashmir/burzahom-free-kashmir.pdf
India and Kashmir,Tassaduque Hussain,English,Politics & Law,https://archive.org/details/burzahom-article-370-india-and-kashmir,burzahom-article-370-india-and-kashmir,https://archive.org/services/img/burzahom-article-370-india-and-kashmir,https://archive.org/download/burzahom-article-370-india-and-kashmir/burzahom-article-370-india-and-kashmir.pdf
Danger in Kashmir,Josef Korbel,English,Politics & Law,https://archive.org/details/burzahom-challenge-in-kashmir,burzahom-challenge-in-kashmir,https://archive.org/services/img/burzahom-challenge-in-kashmir,https://archive.org/download/burzahom-challenge-in-kashmir/burzahom-challenge-in-kashmir.pdf
Thirty Years in Kashmir,Arthur Neve,English,Biography/Memoir,https://archive.org/details/burzahom-child-labor-in-kashmir,burzahom-child-labor-in-kashmir,https://archive.org/services/img/burzahom-child-labor-in-kashmir,https://archive.org/download/burzahom-child-labor-in-kashmir/burzahom-child-labor-in-kashmir.pdf
Inside Kashmir,Prem Nath Bazaz,English,Politics & Law,https://archive.org/details/burzahom-historic-kashmir,burzahom-historic-kashmir,https://archive.org/services/img/burzahom-historic-kashmir,https://archive.org/download/burzahom-historic-kashmir/burzahom-historic-kashmir.pdf
Kashmiri Lyrics,J.L. Kaul,Kashmiri/English,Poetry & Literature,https://archive.org/details/burzahom-kashmir-legacy,burzahom-kashmir-legacy,https://archive.org/services/img/burzahom-kashmir-legacy,https://archive.org/download/burzahom-kashmir-legacy/burzahom-kashmir-legacy.pdf
"Framing Geelani, Hanging Afzal: Patriotism in the Time of Terror",Nandita Haksar,English,Politics & Law,,,,
The Charm of Kashmir,V.C. Scott O'Connor,English,Travelogue,https://archive.org/details/burzahom-the-crisis-in-kashmir,burzahom-the-crisis-in-kashmir,https://archive.org/services/img/burzahom-the-crisis-in-kashmir,https://archive.org/download/burzahom-the-crisis-in-kashmir/burzahom-the-crisis-in-kashmir.pdf
Kashmir and Kashghar,H.W. Bellew,English,History,https://archive.org/details/burzahom-kashmir-rage-and-reason,burzahom-kashmir-rage-and-reason,https://archive.org/services/img/burzahom-kashmir-rage-and-reason,https://archive.org/download/burzahom-kashmir-rage-and-reason/burzahom-kashmir-rage-and-reason.pdf
Muslim Rule in Kashmir,Wani Nizam'uddin,English,History,https://archive.org/details/burzahom-troubled-kashmir,burzahom-troubled-kashmir,https://archive.org/services/img/burzahom-troubled-kashmir,https://archive.org/download/burzahom-troubled-kashmir/burzahom-troubled-kashmir.pdf
Kashmir Holocaust,Khalid Hassan,English,Human Rights & Conflict,https://archive.org/details/burzahom-hoon,burzahom-hoon,https://archive.org/services/img/burzahom-hoon,https://archive.org/download/burzahom-hoon/burzahom-hoon.pdf
The Indian Ideology,Perry Anderson,English,Politics & Law,https://archive.org/details/burzahom-demystifying-ideology,burzahom-demystifying-ideology,https://archive.org/services/img/burzahom-demystifying-ideology,https://archive.org/download/burzahom-demystifying-ideology/burzahom-demystifying-ideology.pdf
The Road to Kashmir,James Milne,English,Travelogue,https://archive.org/details/burzahom-heritage-of-kashmir,burzahom-heritage-of-kashmir,https://archive.org/services/img/burzahom-heritage-of-kashmir,https://archive.org/download/burzahom-heritage-of-kashmir/burzahom-heritage-of-kashmir.pdf
Kashmir in Sunlight and Shade,C.E. Tyndale-Biscoe,English,Travelogue,https://archive.org/details/burzahom-kashmir-in-security-council,burzahom-kashmir-in-security-council,https://archive.org/services/img/burzahom-kashmir-in-security-council,https://archive.org/download/burzahom-kashmir-in-security-council/burzahom-kashmir-in-security-council.pdf
"Love, Loss, and Longing in Kashmir",Sahba Husain,English,Human Rights & Conflict,https://archive.org/details/burzahom-inside-kashmir,burzahom-inside-kashmir,https://archive.org/services/img/burzahom-inside-kashmir,https://archive.org/download/burzahom-inside-kashmir/burzahom-inside-kashmir.pdf
Women in Kashmir,Shazia Malik,English,Academic & Research,https://archive.org/details/burzahom-red-menace-in-kashmir,burzahom-red-menace-in-kashmir,https://archive.org/services/img/burzahom-red-menace-in-kashmir,https://archive.org/download/burzahom-red-menace-in-kashmir/burzahom-red-menace-in-kashmir.pdf
Kashmir Under the Sultans,Mohibbul Hasan,English,History,https://archive.org/details/burzahom-kashir-luke-baath,burzahom-kashir-luke-baath,https://archive.org/services/img/burzahom-kashir-luke-baath,https://archive.org/download/burzahom-kashir-luke-baath/burzahom-kashir-luke-baath.pdf
Kashmir: Looking Back in Time,Khalid Bashir Ahmad,English,History,https://archive.org/details/burzahom-kashir-vol-2,burzahom-kashir-vol-2,https://archive.org/services/img/burzahom-kashir-vol-2,https://archive.org/download/burzahom-kashir-vol-2/burzahom-kashir-vol-2.pdf
Kashmir: The Vajpayee Years,A.S. Dulat,English,Politics & Law,https://archive.org/details/burzahom-kashir-u-naz,burzahom-kashir-u-naz,https://archive.org/services/img/burzahom-kashir-u-naz,https://archive.org/download/burzahom-kashir-u-naz/burzahom-kashir-u-naz.pdf
Kashmir: The Case for Freedom,"Tariq Ali, Hilal Bhatt, Arundhati Roy",English,Politics & Law,https://archive.org/details/burzahom-kashmir-behind-the-vale,burzahom-kashmir-behind-the-vale,https://archive.org/services/img/burzahom-kashmir-behind-the-vale,https://archive.org/download/burzahom-kashmir-behind-the-vale/burzahom-kashmir-behind-the-vale.pdf
Things Seen in Kashmir,Ernest Neve,English,Travelogue,https://archive.org/details/burzahom-kashmirs-internet-siege,burzahom-kashmirs-internet-siege,https://archive.org/services/img/burzahom-kashmirs-internet-siege,https://archive.org/download/burzahom-kashmirs-internet-siege/burzahom-kashmirs-internet-siege.pdf
New Guide to Kashmir,R.C. Arora,English,Travelogue,https://archive.org/details/burzahom-inside-kashmir,burzahom-inside-kashmir,https://archive.org/services/img/burzahom-inside-kashmir,https://archive.org/download/burzahom-inside-kashmir/burzahom-inside-kashmir.pdf
Masla Kashmir Aur Operation Balakot,Azam Inqilabi,Urdu,Politics & Law,https://archive.org/details/burzahom-jalta-hua-kashmir,burzahom-jalta-hua-kashmir,https://archive.org/services/img/burzahom-jalta-hua-kashmir,https://archive.org/download/burzahom-jalta-hua-kashmir/burzahom-jalta-hua-kashmir.pdf
Kashmir Awakes,Sharma,English,History,https://archive.org/details/burzahom-kashmir-in-flames,burzahom-kashmir-in-flames,https://archive.org/services/img/burzahom-kashmir-in-flames,https://archive.org/download/burzahom-kashmir-in-flames/burzahom-kashmir-in-flames.pdf
Picturesque Kashmir,Arthur Neve,English,Travelogue,https://archive.org/details/burzahom-inside-kashmir,burzahom-inside-kashmir,https://archive.org/services/img/burzahom-inside-kashmir,https://archive.org/download/burzahom-inside-kashmir/burzahom-inside-kashmir.pdf
Scattered Souls,Shahnaz Bashir,English,Fiction,https://archive.org/details/burzahom-kashmir,burzahom-kashmir,https://archive.org/services/img/burzahom-kashmir,https://archive.org/download/burzahom-kashmir/burzahom-kashmir.pdf
1 year after article 370 Amnesty International,Unknown,Unknown,Unknown,https://archive.org/details/burzahom-1-year-after-article-370-amnesty-international,burzahom-1-year-after-article-370-amnesty-international,https://archive.org/services/img/burzahom-1-year-after-article-370-amnesty-international,https://archive.org/download/burzahom-1-year-after-article-370-amnesty-international/burzahom-1-year-after-article-370-amnesty-international.pdf
11010642,Unknown,Unknown,Unknown,https://archive.org/details/burzahom-11010642,burzahom-11010642,https://archive.org/services/img/burzahom-11010642,https://archive.org/download/burzahom-11010642/burzahom-11010642.pdf
120 Days - Report by APDP 2019,APDP (Association of Parents of Disappeared Persons),English,Human Rights & Conflict,https://archive.org/details/burzahom-120-days--report-by-apdp-2019,burzahom-120-days--report-by-apdp-2019,https://archive.org/services/img/burzahom-120-days--report-by-apdp-2019,https://archive.org/download/burzahom-120-days--report-by-apdp-2019/burzahom-120-days--report-by-apdp-2019.pdf
1867 Vocabulary of English Balti and Kashmiri,Godwin Austen,English,Language & Linguistics,https://archive.org/details/burzahom-1867-vocabulary-of-english-balti-and-kashmiri,burzahom-1867-vocabulary-of-english-balti-and-kashmiri,https://archive.org/services/img/burzahom-1867-vocabulary-of-english-balti-and-kashmiri,https://archive.org/download/burzahom-1867-vocabulary-of-english-balti-and-kashmiri/burzahom-1867-vocabulary-of-english-balti-and-kashmiri.pdf
1870 - Kashmir Oppressed and Cashmere Misgovernment,Unknown,English,Politics & Law,https://archive.org/details/burzahom-1870--kashmir-oppressed-and-cashmere-misgovernment,burzahom-1870--kashmir-oppressed-and-cashmere-misgovernment,https://archive.org/services/img/burzahom-1870--kashmir-oppressed-and-cashmere-misgovernment,https://archive.org/download/burzahom-1870--kashmir-oppressed-and-cashmere-misgovernment/burzahom-1870--kashmir-oppressed-and-cashmere-misgovernment.pdf
1887 Journals Kept in Hyderabad Kashmir Sikkim and Nepal Vol. 2,Unknown,English,Travelogue,https://archive.org/details/burzahom-1887-journals-kept-in-hyderabad-kashmir-sikkim-and-nepal-vol-2,burzahom-1887-journals-kept-in-hyderabad-kashmir-sikkim-and-nepal-vol-2,https://archive.org/services/img/burzahom-1887-journals-kept-in-hyderabad-kashmir-sikkim-and-nepal-vol-2,https://archive.org/download/burzahom-1887-journals-kept-in-hyderabad-kashmir-sikkim-and-nepal-vol-2/burzahom-1887-journals-kept-in-hyderabad-kashmir-sikkim-and-nepal-vol-2.pdf
1890 Gazetteer of Kashmir and Ladak,Unknown,English,Reference Works,https://archive.org/details/burzahom-1890-gazetteer-of-kashmir-and-ladak,burzahom-1890-gazetteer-of-kashmir-and-ladak,https://archive.org/services/img/burzahom-1890-gazetteer-of-kashmir-and-ladak,https://archive.org/download/burzahom-1890-gazetteer-of-kashmir-and-ladak/burzahom-1890-gazetteer-of-kashmir-and-ladak.pdf
1890 Condemned Unheard,Unknown,Unknown,Unknown,https://archive.org/details/burzahom-1890-condemned-unheard,burzahom-1890-condemned-unheard,https://archive.org/services/img/burzahom-1890-condemned-unheard,https://archive.org/download/burzahom-1890-condemned-unheard/burzahom-1890-condemned-unheard.pdf
1911 - Kashmir Vol I,Unknown,English,History,https://archive.org/details/burzahom-1911--kashmir-vol-i,burzahom-1911--kashmir-vol-i,https://archive.org/services/img/burzahom-1911--kashmir-vol-i,https://archive.org/download/burzahom-1911--kashmir-vol-i/burzahom-1911--kashmir-vol-i.pdf
1948 Alexander the Great Vol 1 — Narrative,W.W. Tarn,English,History,https://archive.org/details/burzahom-1948-alexander-the-great-vol-1--narrative,burzahom-1948-alexander-the-great-vol-1--narrative,https://archive.org/services/img/burzahom-1948-alexander-the-great-vol-1--narrative,https://archive.org/download/burzahom-1948-alexander-the-great-vol-1--narrative/burzahom-1948-alexander-the-great-vol-1--narrative.pdf
Abhinavagupta: An Historical and Philosophical Study - Volume 1,K.C. Pandey (Kanti Chandra Pandey),English,Religion & Philosophy,https://archive.org/details/burzahom-abhinavagupta-an-historical-and-philosophical-study--volume-1,burzahom-abhinavagupta-an-historical-and-philosophical-study--volume-1,https://archive.org/services/img/burzahom-abhinavagupta-an-historical-and-philosophical-study--volume-1,https://archive.org/download/burzahom-abhinavagupta-an-historical-and-philosophical-study--volume-1/burzahom-abhinavagupta-an-historical-and-philosophical-study--volume-1.pdf
Resisting Disappearance,Unknown,Unknown,Unknown,https://archive.org/details/burzahom-resisting-disappearance,burzahom-resisting-disappearance,https://archive.org/services/img/burzahom-resisting-disappearance,https://archive.org/download/burzahom-resisting-disappearance/burzahom-resisting-disappearance.pdf
1958 Tragedy of Kashmir,Government of Pakistan,English,Government Documents & Reports,https://archive.org/details/burzahom-1958-tragedy-of-kashmir,burzahom-1958-tragedy-of-kashmir,https://archive.org/services/img/burzahom-1958-tragedy-of-kashmir,https://archive.org/download/burzahom-1958-tragedy-of-kashmir/burzahom-1958-tragedy-of-kashmir.pdf
1996 Kashmir in the Crossfire,Victoria Schofield,English,History,https://archive.org/details/burzahom-1996-kashmir-in-the-crossfire,burzahom-1996-kashmir-in-the-crossfire,https://archive.org/services/img/burzahom-1996-kashmir-in-the-crossfire,https://archive.org/download/burzahom-1996-kashmir-in-the-crossfire/burzahom-1996-kashmir-in-the-crossfire.pdf
Agrarian Relations and Social Stratification in Kashmir 1885-1925,Unknown,English,Academic & Research,https://archive.org/details/burzahom-agrarian-relations-and-social-stratification-in-kashmir-18851925,burzahom-agrarian-relations-and-social-stratification-in-kashmir-18851925,https://archive.org/services/img/burzahom-agrarian-relations-and-social-stratification-in-kashmir-18851925,https://archive.org/download/burzahom-agrarian-relations-and-social-stratification-in-kashmir-18851925/burzahom-agrarian-relations-and-social-stratification-in-kashmir-18851925.pdf
"America, India, and Kashmir 1945-49: ""If Ignorance About India...""",Unknown,Unknown,Unknown,https://archive.org/details/burzahom-america-india-and-kashmir-194549-if-ignorance-about-india,burzahom-america-india-and-kashmir-194549-if-ignorance-about-india,https://archive.org/services/img/burzahom-america-india-and-kashmir-194549-if-ignorance-about-india,https://archive.org/download/burzahom-america-india-and-kashmir-194549-if-ignorance-about-india/burzahom-america-india-and-kashmir-194549-if-ignorance-about-india.pdf
Prisoner No. 100: An Account of My Nights and Days in an Indian Prison,Anjum Zamrud Habib,English,Biography/Memoir,https://archive.org/details/burzahom-prisoner-no-100-an-account-of-my-nights-and-days-in-an-indian-prison,burzahom-prisoner-no-100-an-account-of-my-nights-and-days-in-an-indian-prison,https://archive.org/services/img/burzahom-prisoner-no-100-an-account-of-my-nights-and-days-in-an-indian-prison,https://archive.org/download/burzahom-prisoner-no-100-an-account-of-my-nights-and-days-in-an-indian-prison/burzahom-prisoner-no-100-an-account-of-my-nights-and-days-in-an-indian-prison.pdf
"An Ongoing Partition: Histories, Borders, and the Politics of Vivisection",Unknown,English,History,https://archive.org/details/burzahom-an-ongoing-partition-histories-borders-and-the-politics-of-vivisection,burzahom-an-ongoing-partition-histories-borders-and-the-politics-of-vivisection,https://archive.org/services/img/burzahom-an-ongoing-partition-histories-borders-and-the-politics-of-vivisection,https://archive.org/download/burzahom-an-ongoing-partition-histories-borders-and-the-politics-of-vivisection/burzahom-an-ongoing-partition-histories-borders-and-the-politics-of-vivisection.pdf
Archaeological Remains in Kashmir,Unknown,English,"Art, Culture & Archaeology",https://archive.org/details/burzahom-archaeological-remains-in-kashmir,burzahom-archaeological-remains-in-kashmir,https://archive.org/services/img/burzahom-archaeological-remains-in-kashmir,https://archive.org/download/burzahom-archaeological-remains-in-kashmir/burzahom-archaeological-remains-in-kashmir.pdf
Are Health Care Systems Insensitive to Needs of Suicidal Patients?,Unknown,English,Academic & Research,https://archive.org/details/burzahom-are-health-care-systems-insensitive-to-needs-of-suicidal-patients,burzahom-are-health-care-systems-insensitive-to-needs-of-suicidal-patients,https://archive.org/services/img/burzahom-are-health-care-systems-insensitive-to-needs-of-suicidal-patients,https://archive.org/download/burzahom-are-health-care-systems-insensitive-to-needs-of-suicidal-patients/burzahom-are-health-care-systems-insensitive-to-needs-of-suicidal-patients.pdf
"A Long Dream of Home: The Persecution, Exile and Exodus of Kashmiri Pandits",Unknown,English,History,https://archive.org/details/burzahom-a-long-dream-of-home-the-persecution-exile-and-exodus-of-kashmiri-pandits,burzahom-a-long-dream-of-home-the-persecution-exile-and-exodus-of-kashmiri-pandits,https://archive.org/services/img/burzahom-a-long-dream-of-home-the-persecution-exile-and-exodus-of-kashmiri-pandits,https://archive.org/download/burzahom-a-long-dream-of-home-the-persecution-exile-and-exodus-of-kashmiri-pandits/burzahom-a-long-dream-of-home-the-persecution-exile-and-exodus-of-kashmiri-pandits.pdf
Between Democracy and Nations: Gender and Militarisation in Kashmir,Unknown,English,Academic & Research,https://archive.org/details/burzahom-between-democracy-and-nations-gender-and-militarisation-in-kashmir,burzahom-between-democracy-and-nations-gender-and-militarisation-in-kashmir,https://archive.org/services/img/burzahom-between-democracy-and-nations-gender-and-militarisation-in-kashmir,https://archive.org/download/burzahom-between-democracy-and-nations-gender-and-militarisation-in-kashmir/burzahom-between-democracy-and-nations-gender-and-militarisation-in-kashmir.pdf
Birds of Kashmir,Unknown,English,Natural Sciences,https://archive.org/details/burzahom-birds-of-kashmir,burzahom-birds-of-kashmir,https://archive.org/services/img/burzahom-birds-of-kashmir,https://archive.org/download/burzahom-birds-of-kashmir/burzahom-birds-of-kashmir.pdf
Discerning Women's Discursive Frames in CyberKashmir,Unknown,English,Academic & Research,https://archive.org/details/burzahom-discerning-womens-discursive-frames-in-cyberkashmir,burzahom-discerning-womens-discursive-frames-in-cyberkashmir,https://archive.org/services/img/burzahom-discerning-womens-discursive-frames-in-cyberkashmir,https://archive.org/download/burzahom-discerning-womens-discursive-frames-in-cyberkashmir/burzahom-discerning-womens-discursive-frames-in-cyberkashmir.pdf
Do You Remember Kunan Poshpora? (2016),Unknown,English,Human Rights & Conflict,https://archive.org/details/burzahom-do-you-remember-kunan-poshpora-2016,burzahom-do-you-remember-kunan-poshpora-2016,https://archive.org/services/img/burzahom-do-you-remember-kunan-poshpora-2016,https://archive.org/download/burzahom-do-you-remember-kunan-poshpora-2016/burzahom-do-you-remember-kunan-poshpora-2016.pdf
Early Neolithic Agriculture 2700–2000 BC and Kushan Period Developments,Unknown,English,Academic & Research,https://archive.org/details/burzahom-early-neolithic-agriculture-27002000-bc-and-kushan-period-developments,burzahom-early-neolithic-agriculture-27002000-bc-and-kushan-period-developments,https://archive.org/services/img/burzahom-early-neolithic-agriculture-27002000-bc-and-kushan-period-developments,https://archive.org/download/burzahom-early-neolithic-agriculture-27002000-bc-and-kushan-period-developments/burzahom-early-neolithic-agriculture-27002000-bc-and-kushan-period-developments.pdf
"Equality, Hierarchy, and Exclusion in Azad Kashmir",Unknown,English,Academic & Research,https://archive.org/details/burzahom-equality-hierarchy-and-exclusion-in-azad-kashmir,burzahom-equality-hierarchy-and-exclusion-in-azad-kashmir,https://archive.org/services/img/burzahom-equality-hierarchy-and-exclusion-in-azad-kashmir,https://archive.org/download/burzahom-equality-hierarchy-and-exclusion-in-azad-kashmir/burzahom-equality-hierarchy-and-exclusion-in-azad-kashmir.pdf
Kashmir Prediliction,Fazili,English,Politics & Law,https://archive.org/details/burzahom-kashmir-prediliction,burzahom-kashmir-prediliction,https://archive.org/services/img/burzahom-kashmir-prediliction,https://archive.org/download/burzahom-kashmir-prediliction/burzahom-kashmir-prediliction.pdf
"Humsheera, Humsaya - Sisters, Neighbours",Unknown,English/Urdu,Fiction,https://archive.org/details/burzahom-humsheera-humsaya--sisters-neighbours,burzahom-humsheera-humsaya--sisters-neighbours,https://archive.org/services/img/burzahom-humsheera-humsaya--sisters-neighbours,https://archive.org/download/burzahom-humsheera-humsaya--sisters-neighbours/burzahom-humsheera-humsaya--sisters-neighbours.pdf
"Gender, Jihad, and Jingoism - Women as Perpetrators",Unknown,English,Academic & Research,https://archive.org/details/burzahom-gender-jihad-and-jingoism--women-as-perpetrators,burzahom-gender-jihad-and-jingoism--women-as-perpetrators,https://archive.org/services/img/burzahom-gender-jihad-and-jingoism--women-as-perpetrators,https://archive.org/download/burzahom-gender-jihad-and-jingoism--women-as-perpetrators/burzahom-gender-jihad-and-jingoism--women-as-perpetrators.pdf
Kashmir - The Untold Story,Humra Quraishi,English,Politics & Law,https://archive.org/details/burzahom-kashmir--the-untold-story,burzahom-kashmir--the-untold-story,https://archive.org/services/img/burzahom-kashmir--the-untold-story,https://archive.org/download/burzahom-kashmir--the-untold-story/burzahom-kashmir--the-untold-story.pdf
Inter-communal Relations Jammu and Kashmir,Nirmal Singh,English,Academic & Research,https://archive.org/details/burzahom-intercommunal-relations-jammu-and-kashmir,burzahom-intercommunal-relations-jammu-and-kashmir,https://archive.org/services/img/burzahom-intercommunal-relations-jammu-and-kashmir,https://archive.org/download/burzahom-intercommunal-relations-jammu-and-kashmir/burzahom-intercommunal-relations-jammu-and-kashmir.pdf
Kashmir Conflict,Unknown,English,Politics & Law,https://archive.org/details/burzahom-kashmir-conflict,burzahom-kashmir-conflict,https://archive.org/services/img/burzahom-kashmir-conflict,https://archive.org/download/burzahom-kashmir-conflict/burzahom-kashmir-conflict.pdf
"Gul Gulshan Gulfam: A Man, His Houseboats",Pran Kishore,English,Biography/Memoir,https://archive.org/details/burzahom-gul-gulshan-gulfam-a-man-his-houseboats,burzahom-gul-gulshan-gulfam-a-man-his-houseboats,https://archive.org/services/img/burzahom-gul-gulshan-gulfam-a-man-his-houseboats,https://archive.org/download/burzahom-gul-gulshan-gulfam-a-man-his-houseboats/burzahom-gul-gulshan-gulfam-a-man-his-houseboats.pdf
