title,author,language,genre,archive_link,identifier,cover_url,download_url
Rare Collection About Kashmir,Unknown,English,Reference Works,https://archive.org/details/burzahom-beautiful-kashmir,burzahom-beautiful-kashmir,https://archive.org/services/img/burzahom-beautiful-kashmir,https://archive.org/download/burzahom-beautiful-kashmir/burzahom-beautiful-kashmir.pdf
Prostitution in Kashmir,Unknown,English,History,https://archive.org/details/burzahom-behind-the-iron-curtain-in-kashmir,burzahom-behind-the-iron-curtain-in-kashmir,https://archive.org/services/img/burzahom-behind-the-iron-curtain-in-kashmir,https://archive.org/download/burzahom-behind-the-iron-curtain-in-kashmir/burzahom-behind-the-iron-curtain-in-kashmir.pdf
Modern Education and the Rise of Political Consciousness in Kashmir,Unknown,English,History,https://archive.org/details/burzahom-biscoe-in-kashmir,burzahom-biscoe-in-kashmir,https://archive.org/services/img/burzahom-biscoe-in-kashmir,https://archive.org/download/burzahom-biscoe-in-kashmir/burzahom-biscoe-in-kashmir.pdf
The Kashmir Conflict: Why It Defies Solution,Unknown,English,Politics & Law,https://archive.org/details/burzahom-captive-kashmir,burzahom-captive-kashmir,https://archive.org/services/img/burzahom-captive-kashmir,https://archive.org/download/burzahom-captive-kashmir/burzahom-captive-kashmir.pdf
Editorial Coverage of Kashmir Conflict in Pakistani Media,Unknown,English,Journalism & Media,https://archive.org/details/burzahom-political-conspiracies-of-kashmir,burzahom-political-conspiracies-of-kashmir,https://archive.org/services/img/burzahom-political-conspiracies-of-kashmir,https://archive.org/download/burzahom-political-conspiracies-of-kashmir/burzahom-political-conspiracies-of-kashmir.pdf
Media Propaganda and the Kashmir Dispute,Unknown,English,Journalism & Media,https://archive.org/details/burzahom-contested-lands-india-pakistan-and-the-kashmir-dispute,burzahom-contested-lands-india-pakistan-and-the-kashmir-dispute,https://archive.org/services/img/burzahom-contested-lands-india-pakistan-and-the-kashmir-dispute,https://archive.org/download/burzahom-contested-lands-india-pakistan-and-the-kashmir-dispute/burzahom-contested-lands-india-pakistan-and-the-kashmir-dispute.pdf
Orientalist Imaginaries of Travels in Kashmir: Western Representations,Unknown,English,Academic & Research,https://archive.org/details/burzahom-cradle-of-caste-in-kashmir,burzahom-cradle-of-caste-in-kashmir,https://archive.org/services/img/burzahom-cradle-of-caste-in-kashmir,https://archive.org/download/burzahom-cradle-of-caste-in-kashmir/burzahom-cradle-of-caste-in-kashmir.pdf
Dictionary of Kashmiri Phrases,Unknown,English/Kashmiri,Language & Linguistics,https://archive.org/details/burzahom-dictionary-of-kashmiri-proverbs-and-sayings,burzahom-dictionary-of-kashmiri-proverbs-and-sayings,https://archive.org/services/img/burzahom-dictionary-of-kashmiri-proverbs-and-sayings,https://archive.org/download/burzahom-dictionary-of-kashmiri-proverbs-and-sayings/burzahom-dictionary-of-kashmiri-proverbs-and-sayings.pdf
National Movement in Kashmir (1901-1931),Unknown,English,History,https://archive.org/details/burzahom-freedom-movement-in-kashmir-19311940,burzahom-freedom-movement-in-kashmir-19311940,https://archive.org/services/img/burzahom-freedom-movement-in-kashmir-19311940,https://archive.org/download/burzahom-freedom-movement-in-kashmir-19311940/burzahom-freedom-movement-in-kashmir-19311940.pdf
Psychiatric Disorders Among Orphan Kashmiris,Unknown,English,Academic & Research,https://archive.org/details/burzahom-faani-kashmiri,burzahom-faani-kashmiri,https://archive.org/services/img/burzahom-faani-kashmiri,https://archive.org/download/burzahom-faani-kashmiri/burzahom-faani-kashmiri.pdf
