No.,Title,Author,Genre,Language,archive_link,cover_url,download_url
224,Buddhism in Kashmir and Ladakh,J. N. Ganhar,Religion & Philosophy,English,https://archive.org/details/burzahom-buddhism-in-kashmir-and-ladakh,https://archive.org/services/img/burzahom-buddhism-in-kashmir-and-ladakh,https://archive.org/download/burzahom-buddhism-in-kashmir-and-ladakh/burzahom-buddhism-in-kashmir-and-ladakh.pdf
225,Building a New Kashmir Under Bakshi Ghulam Muhammad,Hafsa Kanjwal,History,English,,,
226,Buried Evidence: Kashmir,Unknown,Human Rights & Conflict,English,,,
227,Palaeoethnobotany: Plants and Ancient Man in Kashmir,"Ghulam Mohd Buth, Maqsooda Khan, Farooq A. Lone","Art, Culture & Archaeology",English,,,
228,Bè Na Thsay Na Aks (Kashmiri Poetry),Naseem Shafayi,Poetry & Literature,Kashmiri,,,
229,Call of the Mountains: Martyrdom Special Issue,Unknown,Poetry & Literature,Urdu/English,,,
230,Canine Counterinsurgency in Indian-Occupied Kashmir,Unknown,Human Rights & Conflict,English,,,
231,Captive Kashmir,Aziz Beg,Politics & Law,English,,,
232,Census of India 1911: Kashmir,British Government of India,Government Documents & Reports,English,,,
233,Central Asia and Kashmir,K. Warikoo,History,English,,,
234,Central Asia and Kashmir (duplicate),Unknown,History,English,,,
235,Central Asia's Contribution to Kashmir,Unknown,History,English,https://archive.org/details/burzahom-1992-agony-of-kashmir,https://archive.org/services/img/burzahom-1992-agony-of-kashmir,https://archive.org/download/burzahom-1992-agony-of-kashmir/burzahom-1992-agony-of-kashmir.pdf
236,Central Asian Presence in Kashmir,Unknown,History,English,,,
237,Chaman Barg Raze (Garden of Secrets - Kashmiri Poetry),Dr. Darakhshan Andrabi,Poetry & Literature,Kashmiri,,,
238,Chanei Anmaanei Aftab Pakou (Poetry Collection),Syed Amin Tabish,Poetry & Literature,Urdu,,,
239,Changing Role of Jamaat-e-Islami in the Politics of Jammu and Kashmir,Unknown,Politics & Law,English,,,
240,Cheinewan (Poetry),Qazi Hilal Dilnovi,Poetry & Literature,Urdu,,,
241,Chenar Leaves (Poetry),Unknown,Poetry & Literature,English,,,
242,Child Labor in Kashmir,Unknown,Human Rights & Conflict,English,,,
243,Chinar Rang: Kashmiri Writings,J&K Cultural Academy,Poetry & Literature,Urdu/Kashmiri,,,
244,"China, Xinjiang, India, Kashmir: Comparative Politics",Nitasha Kaul,Politics & Law,English,,,
245,Sheikh Abdullah: The Caged Lion of Kashmir,Chitralekha Zutshi,Biography/Memoir,English,,,
246,Chronicles from Kashmir,Nandita Dinesh,Human Rights & Conflict,English,,,
247,Church Missionary Atlas 1862,Church Missionary Society,Religion & Philosophy,English,,,
248,Political Conspiracies of Kashmir,Col. Baghwan Singh,Politics & Law,English,,,
249,Koshur: An Introduction to Spoken Kashmiri,Kashmir News Network,Language & Linguistics,English/Kashmiri,,,
250,Colonial Diary: August 2019 till 2022,LFK (Legal Forum for Kashmir),Human Rights & Conflict,English,,,
251,Coloniality of a Postcolonial Nation-State: India in Indian-Administered Kashmir,Unknown,Academic & Research,English,,,
252,"Islam, Women, and Violence in Kashmir",Nyla Ali Khan,Academic & Research,English,,,
253,Complete E-Book of Sharda Script,Unknown,Language & Linguistics,English/Kashmiri,,,
254,Complete Injustice,Kashmir Law and Justice,Human Rights & Conflict,English,,,
255,Concerning Khurram Parvez (UN Report),UN Human Rights Council,Human Rights & Conflict,English,,,
256,Condemned: Government of India and Maharaja of Kashmir,Unknown,Politics & Law,English,,,
257,Conflict Between India and Pakistan,Peter Lyon,Politics & Law,English,,,
258,Constitutional Status of Gilgit-Baltistan,Dr. Ehsan Mehmood Khan,Politics & Law,English,,,
259,"Contested Lands: India, Pakistan and the Kashmir Dispute",Sumantra Bose,Politics & Law,English,,,
260,Contesting Conservation: Shahtoosh Trade and Forest Management in Kashmir,Unknown,Natural Sciences,English,,,
261,Contesting Settler Colonial Logics in Kashmir,Hafsa Kanjwal,Academic & Research,English,,,
262,Contribution of Kashmir to Sanskrit Literature (1970),K. S. Nagarajan,Poetry & Literature,English,,,
263,Cradle of Caste in Kashmir,Unknown,History,English,,,
264,Cradle of Caste (duplicate),Unknown,History,English,,,
265,Crafting Peace in Kashmir Through a Realist Lens,Unknown,Politics & Law,English,,,
266,Cultural History of Ladakh,Nawang Tsering Shakspo,History,English,,,
267,Cultural Academy's Publication Catalog 1998,J&K Cultural Academy,Reference Works,English/Urdu,,,
268,Culture (General Kashmir Culture Study),Unknown,"Art, Culture & Archaeology",English,,,
269,Culture and Political History of Kashmir: Medieval Kashmir - Volume 2,P. N. K. Bamzai,History,English,,,
270,Curfewed Night,Basharat Peer,Biography/Memoir,English,,,
271,Daam-e-Khayal (Snare of Thought - Poetry),Kachu Asfandyaar Khan,Poetry & Literature,Urdu,,,
272,Daer Che Mechrith (Kashmiri Poetry),Naseem Shafaie,Poetry & Literature,Kashmiri,,,
273,Daleel (Argument - Poetry Collection),Akhtar Mohiuddin,Poetry & Literature,Urdu,,,
274,Danger in Kashmir,Josef Korbel,Politics & Law,English,https://archive.org/details/burzahom-challenge-in-kashmir,https://archive.org/services/img/burzahom-challenge-in-kashmir,https://archive.org/download/burzahom-challenge-in-kashmir/burzahom-challenge-in-kashmir.pdf
275,Dapaan: Tales from Kashmir's Conflict,Unknown,Fiction,English,,,
276,Dardic Culture of Swat,Unknown,Academic & Research,English,,,
277,"Dark Days, Deadly Nights",Unknown,Human Rights & Conflict,English,,,
278,Daughters of the Vitasta,Prem Nath Bazaz,History,English,https://archive.org/details/burzahom-daughters-of-the-vitasta,https://archive.org/services/img/burzahom-daughters-of-the-vitasta,https://archive.org/download/burzahom-daughters-of-the-vitasta/burzahom-daughters-of-the-vitasta.pdf
279,"Death and Life Under Occupation: Space, Violence and Memory in Kashmir",Unknown,Human Rights & Conflict,English,,,
280,Resisting Disappearance: Military Occupation and Women's Activism in Kashmir,Ather Zia,Human Rights & Conflict,English,,,
281,Deconstructing Indian Media Strategy in Kashmir,Unknown,Journalism & Media,English,,,
282,Deewan-e-Ghani (Poetry Divan),Ghani Kashmiri,Poetry & Literature,Urdu,,,
283,Deewan-i-Dowum (Second Poetry Collection),Farooq Ahmad Farooq,Poetry & Literature,Urdu/Kashmiri,,,
284,"Defending Kashmir (Government of India Publication, 1949)","Information Ministry, Govt of India",Politics & Law,English,,,
285,Dehbarai Maal (Collection of Stories),Abdul Khaliq Shamas,Fiction,Urdu,,,
286,Demystifying Kashmir,Navnita Chadha Behera,Politics & Law,English,https://archive.org/details/burzahom-demystifying-kashmir,https://archive.org/services/img/burzahom-demystifying-kashmir,https://archive.org/download/burzahom-demystifying-kashmir/burzahom-demystifying-kashmir.pdf
287,Denied: Failures in Accountability for Human Rights Violations in J&K,Amnesty International,Human Rights & Conflict,English,,,
288,Desi Dawa Ta Desi Elaj (Traditional Medicine),Maharaj Krishen,Natural Sciences,Urdu,,,
289,In Search of a Future: The Story of Kashmir,Ashok Kumar Behera,History,English,,,
290,Development of Islamic Sciences in Kashmir,Unknown,Religion & Philosophy,English,,,
291,Developments in Kashmir: June 2016 to April 2018,UN Office of the High Commissioner for Human Rights,Human Rights & Conflict,English,,,
292,The Distinct Dispossessions of Settler Colonialism in Kashmir,Mohamad Junaid & Haley Duschinski,Academic & Research,English,,,
293,Dewaanon Pe Kya Guzri (What Befell the Afflicted),Saeed Asad,Poetry & Literature,Urdu,,,
294,Dhool Ka Pol (Dust's Secret - Radio Play),Radio Kashmir Srinagar,Fiction,Urdu,,,
295,Diagnosing Conflict: Examination of the Rise of Militancy in Kashmir,Unknown,Politics & Law,English,,,
296,Diary of a Pedestrian in Cashmere and Thibet,W. H. Knight,Travelogue,English,,,
297,Diaspora Youth and Ancestral Homeland: British Pakistani/Kashmiri Youth,Gill Cressey,Academic & Research,English,,,
298,Dictionary of Kashmiri Proverbs and Sayings,J. Hinton Knowles,Language & Linguistics,English,https://archive.org/details/burzahom-farooq-of-kashmir,https://archive.org/services/img/burzahom-farooq-of-kashmir,https://archive.org/download/burzahom-farooq-of-kashmir/burzahom-farooq-of-kashmir.pdf
299,Dictionary of Kashmiri Phrases,Unknown,Language & Linguistics,English,https://archive.org/details/burzahom-dictionary-of-kashmiri-proverbs-and-sayings,https://archive.org/services/img/burzahom-dictionary-of-kashmiri-proverbs-and-sayings,https://archive.org/download/burzahom-dictionary-of-kashmiri-proverbs-and-sayings/burzahom-dictionary-of-kashmiri-proverbs-and-sayings.pdf
300,Digital Authoritarianism in Indian-Administered Kashmir,University of Toronto (Study),Politics & Law,English,,,
301,"Kashmir in Transition, 1885-1893",Dilip Kumar Ghose,History,English,,,
302,Selected Works of Din Nath Nadim,Din Nath Nadim,Poetry & Literature,Kashmiri,,,
303,Me Chham Aash Paguhuich (A Dream of Tomorrow),Dina Nath Nadim,Poetry & Literature,Kashmiri,,,
304,Dina Nath Nadim: Vyakti Aur Abhivyakti,J&K Rashtra Bhasha Prachar Samiti,Biography/Memoir,Hindi,,,
305,Discerning Women's Discursive Frames in CyberKashmir,Unknown,Academic & Research,English,https://archive.org/details/burzahom-discerning-womens-discursive-frames-in-cyberkashmir,https://archive.org/services/img/burzahom-discerning-womens-discursive-frames-in-cyberkashmir,https://archive.org/download/burzahom-discerning-womens-discursive-frames-in-cyberkashmir/burzahom-discerning-womens-discursive-frames-in-cyberkashmir.pdf
306,Discovery of Ancient Brahmi Script in Kashmir (1903),Rev. Abbott,"Art, Culture & Archaeology",English,,,
307,Divan-e-Ghani Kashmiri (Persian Poetry Collection),Ghani Kashmiri,Poetry & Literature,Persian,,,
308,DLI Language Collection 0846,Digital Library of India,Reference Works,Multiple,,,
309,Do You Remember Kunan Poshpora? (2016),Multiple authors,Human Rights & Conflict,English,https://archive.org/details/burzahom-do-you-remember-kunan-poshpora-2016,https://archive.org/services/img/burzahom-do-you-remember-kunan-poshpora-2016,https://archive.org/download/burzahom-do-you-remember-kunan-poshpora-2016/burzahom-do-you-remember-kunan-poshpora-2016.pdf
310,Documentaries & Bloodied Rivers of Kashmir,Unknown,Journalism & Media,English,,,
311,Documents on Kashmir Problem - Volume 1,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
312,Documents on Kashmir Problem - Volume 2,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
313,Documents on Kashmir Problem - Volume 3,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
314,Documents on Kashmir Problem - Volume 4,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
315,Documents on Kashmir Problem - Volume 5,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
316,Documents on Kashmir Problem - Volume 6,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
317,Documents on Kashmir Problem - Volume 7,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
318,Documents on Kashmir Problem - Volume 8,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
319,Documents on Kashmir Problem - Volume 9,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
320,Documents on Kashmir Problem - Volume 10,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
321,Documents on Kashmir Problem - Volume 11,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
322,Documents on Kashmir Problem - Volume 12,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
323,Documents on Kashmir Problem - Volume 13,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
324,Documents on Kashmir Problem - Volume 14,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
325,Documents on Kashmir Problem - Volume 15,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
326,Documents on Kashmir Problem - Volume 16,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
327,Documents on Kashmir Problem - Volume 17,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
328,Documents on Kashmir Problem - Volume 18,M. S. Deora & R. Grover,Government Documents & Reports,English,,,
329,Documents on Kashmir Problem - Volume 19 (Final Volume),M. S. Deora & R. Grover,Government Documents & Reports,English,,,
330,Dod Te Dagh (Stain and Scar - Short Stories),Akhtar Mohiuddin,Fiction,Urdu,,,
331,Dogra Rulers of Jammu and Kashmir,Sat Parkash Suri,History,English,https://archive.org/details/burzahom-dogra-rulers-of-jammu-and-kashmir,https://archive.org/services/img/burzahom-dogra-rulers-of-jammu-and-kashmir,https://archive.org/download/burzahom-dogra-rulers-of-jammu-and-kashmir/burzahom-dogra-rulers-of-jammu-and-kashmir.pdf
332,Dogri Kashmiri Kahaniyaan (Stories),J&K Cultural Academy,Fiction,Dogri/Kashmiri,,,
333,Kashmiri to English Dictionary,Dr. Krishna Joo Razdan (Prof. K. L. Moza ed.),Language & Linguistics,English/Kashmiri,,,
334,Kashmir's Thin Red Lines,Dr. Syed Shujaat Bukhari & Dr. Tahmeena Bukhari,Journalism & Media,English,,,
335,Artisan of the Paradise: Art and Artisans of Kashmir,D. N. Dhar,"Art, Culture & Archaeology",English,,,
336,Eak Zakham Aur Sahi (One More Wound),Shabnam Qayoom,Poetry & Literature,Urdu,,,
337,Early Astronomical Sites in Kashmir,Unknown,"Art, Culture & Archaeology",English,,,
338,Early Astronomical Sites in Kashmir (duplicate),Unknown,"Art, Culture & Archaeology",English,,,
339,Early History and Culture of Kashmir,Sunil Chandra Ray,History,English,,,
340,Early Neolithic Agriculture 2700–2000 BC and Kushan Period Developments,Unknown,"Art, Culture & Archaeology",English,https://archive.org/details/burzahom-early-neolithic-agriculture-27002000-bc-and-kushan-period-developments,https://archive.org/services/img/burzahom-early-neolithic-agriculture-27002000-bc-and-kushan-period-developments,https://archive.org/download/burzahom-early-neolithic-agriculture-27002000-bc-and-kushan-period-developments/burzahom-early-neolithic-agriculture-27002000-bc-and-kushan-period-developments.pdf
341,Editorial Coverage of Kashmir Conflict in Pakistani Media,Unknown,Journalism & Media,English,https://archive.org/details/burzahom-political-conspiracies-of-kashmir,https://archive.org/services/img/burzahom-political-conspiracies-of-kashmir,https://archive.org/download/burzahom-political-conspiracies-of-kashmir/burzahom-political-conspiracies-of-kashmir.pdf
342,Eid-ul-Azha 2012,Syed Ali Shah Geelani,Religion & Philosophy,Urdu,,,
343,Ek Maa Ki Suchi Kahani (A Mother's True Story),Karishn Mehta,Biography/Memoir,Urdu,,,
344,Emergence of Political Awakening in Kashmir,U. K. Zutshi,History,English,https://archive.org/details/burzahom-emergence-of-political-awakening-in-kashmir,https://archive.org/services/img/burzahom-emergence-of-political-awakening-in-kashmir,https://archive.org/download/burzahom-emergence-of-political-awakening-in-kashmir/burzahom-emergence-of-political-awakening-in-kashmir.pdf
345,Emperor of Kashmir: Lalitaditya the Great,Sanjay Sonawani (Translated),Biography/Memoir,English,,,
346,Encyclopedia Kashmiriana Series 2,"Encyclopedia Seminar, J&K Academy",Reference Works,English,,,
347,Encyclopedia Kashmiriana: Kaeshur Encyclopedia Volume 1,J&K Academy,Reference Works,Urdu,,,
348,End of India,Khushwant Singh,Politics & Law,English,,,
349,British policy towards Kashmir,Fida Mohammad Hassnain,History,English,,,
350,Freedom Struggle in Kashmir,Fida Mohammad Hassnain,History,English,,,
351,From The Pages Of History,Pandit Janki Nath Kachroo,History,English,,,
352,Freedom Movement in Kashmir 1931-1940,G.H. Khan,History,English,,,
353,Ancient Kashmir - A Historical Perspective,G.M. Rabbani,History,English,,,
354,Kashmir Social and Cultural History,G.M. Rabbani,History,English,,,
355,Gilgit Ka Inqalab 1947,Prof. Usman Ali,History,Urdu,,,
356,Communist Movement in Kashmir,Peer Giyas Uddin,History,English,,,
357,Happy Valley - British Intervention 1885-1925,Unknown,History,English,,,
358,Hasan's History of Kashmir,Hasan,History,English,,,
359,Historic Kashmir,Hassnain,History,English,,,
360,Kashmir Legacy,Hassnain,History,English,,,
361,Hindu Kashmir,F.M. Hassnain,History,English,https://archive.org/details/burzahom-hindu-kashmir,https://archive.org/services/img/burzahom-hindu-kashmir,https://archive.org/download/burzahom-hindu-kashmir/burzahom-hindu-kashmir.pdf
362,"Hindu Rulers, Muslim Subjects",Mridu Rai,History,English,,,
363,Historians of Muhammedan India,Sir Henry M. Elliot,History,English,,,
364,Historical Background of Jammu and Kashmir,Unknown,History,English,,,
365,Historical Destiny of Kashmir Insurgency,Peer Giyas Uddin,History,English,,,
366,History of Jammu,J. Hutchison & J. Ph. Vogel,History,English,https://archive.org/details/burzahom-history-of-jammu,https://archive.org/services/img/burzahom-history-of-jammu,https://archive.org/download/burzahom-history-of-jammu/burzahom-history-of-jammu.pdf
367,History of Jammu State,Unknown,History,English,,,
368,History of Prostitution in Kashmir,Unknown,History,English,,,
369,History of Srinagar,Ishaq Khan,History,English,,,
370,History of Jamaat-e-Islami of J&K,Yogendra Sikand,History,English,,,
371,History of the Punjab Hill States Vol 1,Hutchinson & Vogel,History,English,,,
372,History of the Punjab Hill States Vol 2,Hutchinson & Vogel,History,English,,,
373,Impact of Mughal Rule on Kashmir,Unknown,History,English,,,
374,Colonizing Kashmir - State Building Under Indian Occupation,Hafsa Kanjwal,History,English,,,
375,Folklore and History of Kashmir,Dr. Farooq Fayaz,History,English,,,
376,Gaw Kadal Massacre - Turning Point,Unknown,History,English,,,
377,Exogenous Influences in Kashmir from Neolithic Times,Unknown,History,English,,,
378,Escape From Srinagar Jail,Maqbool Butt Shaheed,Biography/Memoir,English,,,
379,Rumours of Spring - A Girlhood in Kashmir,Farah Bashir,Biography/Memoir,English,,,
380,Trailblazer - From the Mountains of Kashmir,Farooq Kathwari,Biography/Memoir,English,,,
381,First Martyr For The Light,Maqbool Bhat,Biography/Memoir,English,,,
382,Gandhi of Kashmir (Sheikh Abdullah),Prem Nath Bazaz,Biography/Memoir,English,,,
383,Geelani,Yoginder Sikand,Biography/Memoir,English,,,
384,Habba Khatoon Tawareekh Ke Ayene Mein,G.R. Bhat,Biography/Memoir,Urdu,,,
385,The Missionary and the Maharajas,Haugh Tyndale-Biscoe,Biography/Memoir,English,,,
386,Heir Apparent - An Autobiography,Karan Singh,Biography/Memoir,English,,,
387,My Days in Prison,Iftikhar Gilani,Biography/Memoir,English,,,
388,Guns Under My Chinar - Kashmir's Covert Wars,A.M. Watali,Biography/Memoir,English,,,
389,Eqbal Ahmad Reader - Writings on India,Eqbal Ahmad (Ed. Sarthak Tomar),Politics & Law,English,,,
390,"Eqbal Ahmad Reader - Writings on India, Pakistan and Kashmir",Eqbal Ahmad,Politics & Law,English,,,
391,"Equality, Hierarchy, and Exclusion in Azad Kashmir",Unknown,Politics & Law,English,https://archive.org/details/burzahom-equality-hierarchy-and-exclusion-in-azad-kashmir,https://archive.org/services/img/burzahom-equality-hierarchy-and-exclusion-in-azad-kashmir,https://archive.org/download/burzahom-equality-hierarchy-and-exclusion-in-azad-kashmir/burzahom-equality-hierarchy-and-exclusion-in-azad-kashmir.pdf
392,War at the Top of the World - The Struggle for Afghanistan,Eric Margolis,Politics & Law,English,,,
393,Constitutional System of J&K,Fazili,Politics & Law,English,,,
394,Discourses on Kashmir,Fazili,Politics & Law,English,,,
395,Kashmir Government and Politics,Fazili,Politics & Law,English,,,
396,Kashmir Prediliction,Fazili,Politics & Law,English,https://archive.org/details/burzahom-kashmir-prediliction,https://archive.org/services/img/burzahom-kashmir-prediliction,https://archive.org/download/burzahom-kashmir-prediliction/burzahom-kashmir-prediliction.pdf
397,Kashmir and NC and Politics 1975-80,Ganai,Politics & Law,English,,,
398,The Kashmir Question,Ganguly,Politics & Law,English,https://archive.org/details/burzahom-1930-founding-of-the-kashmir-state,https://archive.org/services/img/burzahom-1930-founding-of-the-kashmir-state,https://archive.org/download/burzahom-1930-founding-of-the-kashmir-state/burzahom-1930-founding-of-the-kashmir-state.pdf
399,The Crisis in Kashmir,Ganguly,Politics & Law,English,,,
400,"GBH, CPEC and Kashmir",Unknown,Politics & Law,English,,,
401,Geo-political Significance of Kashmir,Unknown,Politics & Law,English,,,
402,Kashmir Rage and Reason,Gowhar Geelani,Politics & Law,English,,,
403,Troubled Kashmir,Gupta,Politics & Law,English,,,
404,Hangulism Manifesto Volume 1,Unknown,Politics & Law,English,,,
405,"Historical Title, Self-Determination and Kashmir Question",Unknown,Politics & Law,English,,,
406,From a Distant Shore to War at Home 9/11,Unknown,Politics & Law,English,,,
407,From a Distant Shore to War at Home 9/11 & Kashmir,Mohammad Junaid,Politics & Law,English,,,
408,From Domicile to Dominion - India's Settler Colonial Agenda,Unknown,Politics & Law,English,,,
409,Independent Kashmir,Unknown,Politics & Law,English,,,
410,Ethnography of Social Trauma in J&K,Unknown,Human Rights & Conflict,English,,,
411,Everyone Lives in Fear - Patterns of Impunity in J&K,Unknown,Human Rights & Conflict,English,,,
412,Exacting Revenge - Incarcerating Children in Kashmir,Unknown,Human Rights & Conflict,English,,,
413,Facts Under Ground - First Report on Mass Graves,Unknown,Human Rights & Conflict,English,,,
414,Gender and Militarization in Kashmir,Seema Kazi,Human Rights & Conflict,English,,,
415,"Half-Widow, Half-Wife (APDP Report)",APDP,Human Rights & Conflict,English,,,
416,Human Rights Crisis in Kashmir,Unknown,Human Rights & Conflict,English,,,
417,Human Rights Situation in Kashmir 2024,Kashmir Law and Justice,Human Rights & Conflict,English,,,
418,Human Rights Violations in Kashmir,Piotr Balcerowicz & Agnieszka,Human Rights & Conflict,English,https://archive.org/details/burzahom-a-mission-in-kashmir,https://archive.org/services/img/burzahom-a-mission-in-kashmir,https://archive.org/download/burzahom-a-mission-in-kashmir/burzahom-a-mission-in-kashmir.pdf
419,"Humsheera, Humsaya - Sisters, Neighbours",Unknown,Human Rights & Conflict,English,https://archive.org/details/burzahom-humsheera-humsaya--sisters-neighbours,https://archive.org/services/img/burzahom-humsheera-humsaya--sisters-neighbours,https://archive.org/download/burzahom-humsheera-humsaya--sisters-neighbours/burzahom-humsheera-humsaya--sisters-neighbours.pdf
420,Hurriyat's Human Rights Report 2016,Hurriyat,Human Rights & Conflict,English,,,
421,Imprisoned Resistance - 5th August and its...,Unknown,Human Rights & Conflict,English,,,
422,Resisting Occupation,"Haley Duschinski, Mona Bhan, Ather Zia, Cynthia Mahmood",Human Rights & Conflict,English,,,
423,Essas Ke Gaav,Meem Sidiqi,Poetry & Literature,Urdu,,,
424,Faani Kashmiri,Dr. Saida Amir Hassan Aabidi,Poetry & Literature,Urdu,,,
425,Gems of Kashmiri Literature,T.N. Kaul,Poetry & Literature,English,,,
426,Gardish-e-Doran,Hassan Sahu,Poetry & Literature,Urdu,,,
427,Gazliyati-e-Ahad Zargar Vol 1,Ahad Zargar,Poetry & Literature,Urdu/Kashmiri,,,
428,Ghani Kashmiri,JK Cultural Academy,Poetry & Literature,Kashmiri/Urdu,,,
429,Ginde Bashi Acher Goend,Gh. Nabi Naazir,Poetry & Literature,Kashmiri/Urdu,,,
430,Guftugoo Chand Say,Dr. Farid Parbati,Poetry & Literature,Urdu,,,
431,Gul Wa Snobar,Unknown,Poetry & Literature,Urdu/Kashmiri,,,
432,Gulbun-e-Khayaal,Dr. Gazanfar Ali,Poetry & Literature,Urdu/Kashmiri,,,
433,Haaj Baba,Dr. Shamsuddin Ahmad,Poetry & Literature,Urdu,,,
434,Habba Khatoon Poems,Habba Khatoon,Poetry & Literature,Kashmiri,,,
435,Habba Khatoon,Amin Kamil,Poetry & Literature,Urdu,,,
436,Habba Khatoon,J.R. Bhat,Poetry & Literature,English/Urdu,,,
437,Haj Bab,JK Cultural Academy,Poetry & Literature,Urdu,,,
438,Harfan Maula,Shakir Shafeeq,Poetry & Literature,Urdu,,,
439,Hamara Adab (Multiple Editions),Various,Poetry & Literature,Urdu,,,
440,Hamara Adab Anthology 2014-15,Various,Poetry & Literature,Urdu/Kashmiri,,,
441,Himal Nae Girae,Moti Lal Kemu,Poetry & Literature,Kashmiri/Urdu,,,
442,Hoon,Kausar Rasool,Poetry & Literature,Kashmiri/Urdu,,,
443,"I, Lalla - The Poems of Lal Ded",Lal Ded,Poetry & Literature,English,,,
444,Ihd-nama-Kashmir,Khwaja Sanaullah Bhat,Poetry & Literature,Urdu,,,
445,Folk Tales of Kashmir,J.H. Knowles,Poetry & Literature,English,,,
446,Hatim's Tales,Auriel Stein,Poetry & Literature,English,,,
447,Faith and Frenzy - Short Stories from Kashmir,K.L. Chowdhury,Fiction,English,,,
448,Gul Bakavali,JK Cultural Academy,Fiction,Urdu,,,
449,Hindostaeny Afsaane,Dr. Gulzar Ahmad Rather (Trans.),Fiction,Urdu,,,
450,Ibrat - A Book of Short Stories,Zanfar Khokhar,Fiction,Urdu/Kashmiri,,,
451,"Kashmir - Islam, Ideology and Society",Peer Giyas Uddin,Religion & Philosophy,English,,,
452,Gilgit Manuscripts Vol 1,Unknown,Religion & Philosophy,English,,,
453,Gilgit Manuscripts Vol 2,Unknown,Religion & Philosophy,English,,,
454,The Syncretic Traditions of Islamic Religious...,Hakim Sameer Hamdani,Religion & Philosophy,English,,,
455,Hazrat Ali R.A (1906),Mufeed Alam Press,Religion & Philosophy,Urdu,,,
456,Holy Quran Pahari Translation,Zaffar Iqbal Manhas,Religion & Philosophy,Pahari,,,
457,Demystifying Ideology,Hameed Anayeem,Religion & Philosophy,English,,,
458,Trilingual Aspects of Language Learning and Teaching,Gupta,Language & Linguistics,English,,,
459,Excavations at Avantipura (1913),Unknown,"Art, Culture & Archaeology",English,,,
460,Gae Ja Kashmir,Qaumi Cultural Kashmir,"Art, Culture & Archaeology",Urdu,,,
461,Heritage of Kashmir,Hassnain,"Art, Culture & Archaeology",English,,,
462,Ham Kon (Naam ke Ehmiyat),Nawaz Khan Naji,"Art, Culture & Archaeology",Urdu,,,
463,Heritage of Jammu Kashmir and Ladakh,Usha Sharma,"Art, Culture & Archaeology",English,,,
464,Illustrations of Ancient Buildings in Kashmir (1869),H.H. Cole,"Art, Culture & Archaeology",English,,,
465,Family and Kinship,T.N. Madan,Academic & Research,English,,,
466,"Gender, Jihad, and Jingoism - Women as Perpetrators",Unknown,Academic & Research,English,https://archive.org/details/burzahom-gender-jihad-and-jingoism--women-as-perpetrators,https://archive.org/services/img/burzahom-gender-jihad-and-jingoism--women-as-perpetrators,https://archive.org/download/burzahom-gender-jihad-and-jingoism--women-as-perpetrators/burzahom-gender-jihad-and-jingoism--women-as-perpetrators.pdf
467,Gujjar and Bakarwals of Kashmir,Unknown,Academic & Research,English,,,
468,Socioeconomic Development of Kashmir,Gupta,Academic & Research,English,,,
469,IJMRA-12745,Unknown,Academic & Research,English,,,
470,Impact of Militancy on Tourism of Kashmir,Unknown,Academic & Research,English,,,
471,Impact of Conflict Situation on Mental Health in Srinagar,Unknown,Academic & Research,English,https://archive.org/details/burzahom-ihdnamakashmir,https://archive.org/services/img/burzahom-ihdnamakashmir,https://archive.org/download/burzahom-ihdnamakashmir/burzahom-ihdnamakashmir.pdf
472,Hamara Adab Urdu Tanqid Number 2013-14,JK Academy,Academic & Research,Urdu,,,
473,Flood 2014 Rescue List,Indian Army,Government Documents & Reports,English,,,
474,Kashmir in Security Council,Govt. of J&K,Government Documents & Reports,English,,,
475,Historical Documents Related to Kashmir,Various,Government Documents & Reports,English,,,
476,Home Department J&K Government India Report,Govt. of J&K,Government Documents & Reports,English,,,
477,Geography of the Jammu and Kashmir State,Anand Koul,Reference Works,English,,,
478,GK J&K - Aaina-e-Jammu & Kashmir,Unknown,Reference Works,Urdu,,,
479,"Flaming Forest, Wounded Valley - Stories from Bastar",Freny Manecksha,Journalism & Media,English,,,
480,Days and Nights in the Heartland of Rebellion,Gautam Navlakha,Journalism & Media,English,,,
481,Kashmir - The Untold Story,Humra Quraishi,Journalism & Media,English,https://archive.org/details/burzahom-kashmir--the-untold-story,https://archive.org/services/img/burzahom-kashmir--the-untold-story,https://archive.org/download/burzahom-kashmir--the-untold-story/burzahom-kashmir--the-untold-story.pdf
482,Genome Search for Greek and Jewish Admixture,Unknown,Natural Sciences,English,,,
